Date,Open,High,Low,Close
2016/3/28,113.329,113.688,113.152,113.399
2016/3/29,113.398,113.8,112.614,112.705
2016/3/30,112.705,112.806,112.023,112.45
2016/3/31,112.45,112.655,112.113,112.542
2016/4/1,112.542,112.58,111.598,111.654
2016/4/4,111.577,111.799,111.098,111.317
2016/4/5,111.318,111.335,109.946,110.34
2016/4/6,110.338,110.643,109.346,109.742
2016/4/7,109.743,109.898,107.672,108.264
2016/4/8,108.271,109.099,108.159,108.168
2016/4/11,108.094,108.435,107.644,107.968
2016/4/12,107.973,108.786,107.877,108.618
2016/4/13,108.618,109.405,108.513,109.275
2016/4/14,109.275,109.547,108.904,109.418
2016/4/15,109.418,109.733,108.605,108.727
2016/4/18,108.173,108.988,107.841,108.857
2016/4/19,108.856,109.486,108.792,109.269
2016/4/20,109.269,109.878,108.765,109.741
2016/4/21,109.739,109.899,109.327,109.428
2016/4/22,109.434,111.806,109.268,111.624
2016/4/25,111.793,111.804,110.847,111.238
2016/4/26,111.23,111.473,110.673,111.297
2016/4/27,111.296,111.75,111.033,111.45
2016/4/28,111.455,111.883,107.884,108.112
2016/4/29,108.113,108.2,106.282,106.476
2016/5/2,106.333,106.817,106.154,106.413
2016/5/3,106.412,107.451,105.551,106.946
2016/5/4,106.914,107.354,106.253,107.034
2016/5/5,107.034,107.479,106.81,107.274
2016/5/6,107.274,107.417,106.455,107.143
2016/5/9,107.206,108.6,107.169,108.493
2016/5/10,108.491,109.377,108.276,109.348
2016/5/11,109.347,109.347,108.373,108.465
2016/5/12,108.464,109.394,108.23,109.043
2016/5/13,109.044,109.533,108.516,108.646
2016/5/16,108.668,109.094,108.47,109.064
2016/5/17,109.065,109.649,108.848,109.128
2016/5/18,109.129,110.255,108.733,110.186
2016/5/19,110.185,110.383,109.702,109.96
2016/5/20,109.956,110.588,109.852,110.156
2016/5/23,110.141,110.242,109.112,109.227
2016/5/24,109.224,110.131,109.171,109.983
2016/5/25,109.976,110.448,109.867,110.181
2016/5/26,110.176,110.231,109.419,109.754
2016/5/27,109.753,110.449,109.479,110.421
2016/5/30,110.414,111.442,110.402,111.143
2016/5/31,111.139,111.348,110.504,110.738
2016/6/1,110.735,110.826,109.058,109.473
2016/6/2,109.461,109.583,108.526,108.848
2016/6/3,108.848,109.136,106.556,106.638
2016/6/6,106.511,107.655,106.441,107.537
2016/6/7,107.537,107.904,107.155,107.332
2016/6/8,107.327,107.384,106.6,106.888
2016/6/9,106.916,107.175,106.266,106.965
2016/6/10,106.975,107.262,106.558,106.775
2016/6/13,106.816,106.841,105.741,106.13
2016/6/14,106.124,106.413,105.633,106.018
2016/6/15,106.019,106.389,105.504,106.002
2016/6/16,106,106,103.552,104.322
2016/6/17,104.324,104.822,104.102,104.187
2016/6/20,104.734,104.844,103.782,103.974
2016/6/21,103.978,105.058,103.597,104.777
2016/6/22,104.778,104.977,104.321,104.813
2016/6/23,104.813,106.809,104.129,106.586
2016/6/24,106.578,106.589,99.101,102.268
2016/6/27,101.854,102.477,101.431,101.906
2016/6/28,101.909,102.842,101.577,102.714
2016/6/29,102.714,103.016,102.182,102.902
2016/6/30,102.902,103.393,102.391,103.301
2016/7/1,103.289,103.305,102.444,102.57
2016/7/4,102.664,102.805,102.429,102.536
2016/7/5,102.537,102.588,101.455,101.738
2016/7/6,101.732,101.735,100.209,101.385
2016/7/7,101.386,101.403,100.599,100.77
2016/7/8,100.773,101.269,100.001,100.47
2016/7/11,100.61,102.894,100.541,102.782
2016/7/12,102.771,104.984,102.453,104.755
2016/7/13,104.756,104.878,103.933,104.377
2016/7/14,104.371,105.938,104.002,105.353
2016/7/15,105.365,106.31,105.055,105.49
2016/7/18,105.46,106.264,105.274,106.135
2016/7/19,106.117,106.534,105.65,106.165
2016/7/20,106.157,107.443,105.835,107.218
2016/7/21,107.21,107.489,105.43,106.196
2016/7/22,106.191,106.394,105.569,106.159
2016/7/25,106.195,106.724,105.743,105.834
2016/7/26,105.837,105.89,103.994,104.742
2016/7/27,104.745,106.54,104.691,105.301
2016/7/28,105.301,105.505,104.508,105.286
2016/7/29,105.288,105.546,101.977,102.048
2016/8/1,102.2,102.684,102.118,102.368
2016/8/2,102.361,102.824,100.683,100.921
2016/8/3,100.92,101.57,100.752,101.266
2016/8/4,101.266,101.668,100.865,101.173
2016/8/5,101.173,102.059,100.876,101.777
